Rules,Campaign Type,ID #,Filter:,Parent Task:,Child Tasks,TAG TASKS,Schedule:,Notes:
General,Reg,,Pro PPC Live Products,,,,,
General,Reg,,"Pro PPC Enabled Campaign, Ad Group, and KW",,,,,
General,Reg,,"Pro PPC Enabled Campaign, Ad Group, and Target",,,,,
General,Reg,,Pro PPC Enabled Campaign and Ad Group,,,,,
General,Reg,,Pro PPC Campaign Enabled,,,,,
General,Reg,,Pro PPC TKW Campaigns,,,,,
General,Reg,,Pro PPC Old Campaigns,,,,,
General,Reg,,Pro PPC New Campaign Tag,,,,,
General,Reg,,Pro PPC High Priced Items,,,,,
General,Reg,,Pro PPC Ineligible Products,,,,,
General,Reg,,Pro PPC Campaign KW Count 150-400 (2),,,,,
General,Reg,,Pro PPC Campaign KW Count 401-599 (3),,,,,
General,Reg,,Pro PPC Campaign KW Count 600-1000 (4),,,,,
,,,,,,,,
ST Report,Reg,,Pro PPC Old Search Terms to Add,,,,,
ST Report,Reg,,Pro PPC Search Term Report,Pro PPC Search Term Report,Pro PPC Negating in Broad and Phrase,Add new tag," 09:00 AM, every 2 days, and on Monday, Wednesday, and Friday",
ST Report,New ,,Pro PPC Search Term Report,Pro PPC Search Term Report - New,,Pro PPC Negating in Broad and PhraseAdd new tag," 09:00 AM, every 2 days, and on Monday, Wednesday, and Friday",
ST Report,Reg,,Pro PPC Asin Search Term Report,Pro PPC Search Term Asin Report,,, Weekly at 09:00 AM,
ST Report,New ,,Pro PPC Asin Search Term Report,Pro PPC Search Term Asin Report - New,,,"every 2 days, and on Monday, Wednesday, and Friday",
,,,,,,,,
Boosting,Reg,87,Pro PPC Boosting Kws without clicks,Pro PPC Boosting Kws without clicks,,,Weekly at 09:00 AM,"Repeat Weekly at 06:00 AM, starting on January 24, 2024 6:00 AM"
Boosting,New ,33,Pro PPC Boosting Kws without clicks,Pro PPC Boosting Kws without clicks - New,,,"09:00 AM, every 2 days, and on Monday, Wednesday, and Friday","Repeat At 06:00 AM, every 2 days, and on Monday, Wednesday, and Friday, starting on January 24, 2024 6:00 AM"
Boosting,Reg,59,Pro PPC Boosting Kws Low Acos not OOB,Pro PPC Boosting Kws Low Acos not OOB,,Tag Raised,Weekly at 09:00 AM,"Repeat Weekly at 06:00 AM, starting on January 24, 2024 6:00 AM"
Boosting,New ,5,Pro PPC Boosting Kws Low Acos not OOB,Pro PPC Boosting Kws Low Acos not OOB - New,,Tag Raised,"09:00 AM, only on Monday and Thursday","Repeat At 06:00 AM, only on Monday and Thursday, starting on January 24, 2024 6:00 AM"
Boosting,Big DR,53,Pro PPC Boosting Kws Low Acos not OOB - Lowered Keywords,Pro PPC Boosting Kws Low Acos not OOB - Lowered Keywords,,Copy of Tag RaisedCopy of Remove New Keyword And Lowered Tags, Weekly at 09:00 AM,"Repeat Weekly at 06:00 AM, starting on January 24, 2024 6:00 AM"
Boosting,Reg,88,Pro PPC Boosting Targets without clicks,Pro PPC Boosting Targets without clicks,,,"09:00 AM, every 2 days, and on Monday, Wednesday, and Friday","Repeat Weekly at 06:00 AM, starting on January 24, 2024 6:00 AM"
Boosting,New ,48,Pro PPC Boosting Targets without clicks,Pro PPC Boosting Targets without clicks - New,,,"09:00 AM, every 2 days, and on Monday, Wednesday, and Friday","Repeat At 06:00 AM, every 2 days, and on Monday, Wednesday, and Friday, starting on January 24, 2024 6:00 AM"
Boosting,Reg,26,Pro PPC Boosting Targets Low Acos not OOB,Pro PPC Boosting Targets Low Acos not OOB,,Remove New Target And Lowered TagTag Raised - Targets,	 Weekly at 09:00 AM,"Repeat Weekly at 06:00 AM, starting on January 24, 2024 6:00 AM"
Boosting,New ,283,Pro PPC Boosting Targets Low Acos not OOB,Pro PPC Boosting Targets Low Acos not OOB - New,,"Copy of Remove New Target And Lowered Tags
Copy 2 of Tag Raised","09:00 AM, only on Monday and Thursday","Repeat At 06:00 AM, only on Monday and Thursday, starting on January 24, 2024 6:00 AM"
Boosting,Big DR,286,Pro PPC Boosting Targets Low Acos not OOB - Lowered Keywords,Pro PPC Boosting Targets Low Acos not OOB - Lowered Keywords,,"Copy of Copy of Remove New Target And Lowered Tags
Copy of Copy of Tag Raised",9:00 am weekly on Tuesday,"Repeat Weekly at 06:00 AM, starting on January 24, 2024 6:00 AM"
,,,,,,,,
Cleaning,Reg,,Pro PPC Kws with high clicks and no sales with PL,Pro PPC Kws with high clicks and no sales with PL,,"Remove Raised And New Keyword Tags
Tag lowered (With PL)",Weekly at 09:00 AM,Keywords
Cleaning,New ,,Pro PPC Kws with high clicks and no sales with PL,Pro PPC Kws with high clicks and no sales with PL - New,,"Remove Raised And New Keyword Tags
Tag lowered (With PL)","09:00 AM, every 2 days, and on Monday, Wednesday",Keywords
Cleaning,Reg,,Pro PPC Kws with high clicks and no sales without PL,Pro PPC Kws with high clicks and no sales without PL,,"Remove Raised And New Keyword Tags
Tag lowered (With PL)","09:00 AM, every 2 days, and on Monday, Wednesday, and Friday",Keywords
Cleaning,New ,,Pro PPC Kws with high clicks and no sales without PL,Pro PPC Kws with high clicks and no sales without PL - New,,"Remove Raised And New Keyword Tags
Tag lowered (With PL)","09:00 AM, every 2 days, and on Monday, Wednesday, and Friday",Keywords
Cleaning,Reg,,Pro PPC Cleaning High Acos without PL - Keywords,Pro PPC Cleaning High Acos without PL - Keywords,,Remove Lowered - Temp Tag Remove Raised Tag (4)Add Tag Lowered (4), Weekly at 09:00 AM,Keywords
Cleaning,New ,,Pro PPC Cleaning High Acos without PL - Keywords,Pro PPC Cleaning High Acos without PL - Keywords - New,,Remove Lowered - Temp Tag Remove Raised Tag (4)Add Tag Lowered (4),"09:00 AM, only on Monday, Wednesday, and Friday",Keywords
Cleaning,Reg,,Pro PPC Cleaning High Acos with PL - Keywords,Pro PPC Cleaning High Acos with PL - Keywords,,"Remove Lowered - Temp Tag (5)Remove Raised Tag (6)Lower Again Keywords With Tag ""Lowered"" (4)", Weekly at 09:00 AM,Keywords
Cleaning,New ,,Pro PPC Cleaning High Acos with PL - Keywords,Pro PPC Cleaning High Acos with PL - Keywords - New,,"Remove Lowered - Temp Tag (5)Remove Raised Tag (6)Lower Again Keywords With Tag ""Lowered"" (4)","09:00 AM, only on Monday, Wednesday, and Friday",Keywords
Cleaning,Reg,,Pro PPC Cleaning High Acos without PL Good Conversion - Keywords,Pro PPC Cleaning High Acos without PL Good Conversion - Keywords,,"Copy  of Remove Raised Tag (3)Copy  of Add Tag LoweredCopy  of Lower Again Keywords With Tag ""Lowered""",Weekly at 09:00 AM,Keywords
Cleaning,New ,,Pro PPC Cleaning High Acos without PL Good Conversion - Keywords,Pro PPC Cleaning High Acos without PL Good Conversion - Keywords - New,,"Copy  of Remove Raised Tag (3)Copy  of Add Tag LoweredCopy  of Lower Again Keywords With Tag ""Lowered""","09:00 AM, every 2 days, and on Monday, Wednesday, and Friday",Keywords
Cleaning,Reg,,Pro PPC Cleaning High Acos with PL Good Conversion - Keywords,Pro PPC Cleaning High Acos with PL Good Conversion - Keywords,,"Copy of Remove Raised Tag (5)Copy of Add Tag Lowered (2)Copy of Lower Again Keywords With Tag ""Lowered"" (3)",Weekly at 09:00 AM,Keywords
Cleaning,New ,,Pro PPC Cleaning High Acos with PL Good Conversion - Keywords,Pro PPC Cleaning High Acos with PL Good Conversion - Keywords - New,,"Copy of Remove Raised Tag (5)Copy of Add Tag Lowered (2)Copy of Lower Again Keywords With Tag ""Lowered"" (3)","09:00 AM, only on Monday, Wednesday, and Friday",Keywords
Cleaning,Reg,,Pro PPC Targets with high clicks and no sales with PL,Pro PPC Targets with high clicks and no sales with PL,,Copy of Remove Raised And New Target Tags (4)Copy of Tag lowered (4), Weekly at 09:00 AM,Targets
Cleaning,New ,,Pro PPC Targets with high clicks and no sales with PL,Pro PPC Targets with high clicks and no sales with PL - New,,Copy of Remove Raised And New Target Tags (4)Copy of Tag lowered (4)," 09:00 AM, only on Monday, Wednesday, and Friday",Targets
Cleaning,Reg,,Pro PPC Targets with high clicks and no sales without PL,Pro PPC Targets with high clicks and no sales without PL,,Copy of Remove Raised And New Target Tags (2)Copy of Tag lowered (2), Weekly at 09:00 AM,Targets
Cleaning,New ,,Pro PPC Targets with high clicks and no sales without PL,Pro PPC Targets with high clicks and no sales without PL - New,,Copy of Remove Raised And New Target Tags (2)Copy of Tag lowered (2),"09:00 AM, every 2 days, and on Monday, Wednesday, and Friday",Targets
Cleaning,Reg,,Pro PPC Cleaning High Acos with PL - Targets,Pro PPC Cleaning High Acos with PL - Targets,,"Copy of Remove Raised And New Target Tags (3)Copy of Add Tag Lowered (6)Copy of Lower Again Targets With Tag ""Lowered""", Weekly at 09:00 AM,Targets
Cleaning,New ,,Pro PPC Cleaning High Acos with PL - Targets,Pro PPC Cleaning High Acos with PL - Targets - New,,"Copy of Remove Raised And New Target Tags (3)Copy of Add Tag Lowered (6)Copy of Lower Again Targets With Tag ""Lowered""","09:00 AM, every 2 days, and on Monday, Wednesday, and Friday",Targets
Cleaning,Reg,,Pro PPC Cleaning High Acos without PL - Targets,Pro PPC Cleaning High Acos without PL - Targets,,"Lower Again Targets With Tag ""Lowered"" (1)Add Tag Lowered (5)Remove Raised Tag (7)", Weekly at 09:00 AM,Targets
Cleaning,New ,,Pro PPC Cleaning High Acos without PL - Targets,Pro PPC Cleaning High Acos without PL - Targets - New,,"Lower Again Targets With Tag ""Lowered"" (1)Add Tag Lowered (5)Remove Raised Tag (7)"," 09:00 AM, every 2 days, and on Monday, Wednesday, and Friday",Targets
Cleaning,Reg,,Pro PPC Cleaning High Acos without PL Good Conversion - Targets,Pro PPC Cleaning High Acos without PL Good Conversion - Targets,,"Lower Again Targets With Tag ""Lowered"" (2)Add Tag Lowered (8)Remove Raised And New Target Tag (1)",Weekly at 09:00 AM,Targets
Cleaning,New ,,Pro PPC Cleaning High Acos without PL Good Conversion - Targets,Pro PPC Cleaning High Acos without PL Good Conversion - Targets - New,,"Lower Again Targets With Tag ""Lowered"" (2)Add Tag Lowered (8)Remove Raised And New Target Tag (1)"," 09:00 AM, every 2 days, and on Monday, Wednesday, and Friday",Targets
Cleaning,Reg,,Pro PPC Cleaning High Acos with PL Good Conversion - Targets,Pro PPC Cleaning High Acos with PL Good Conversion - Targets,,"Lower Again Targets With Tag ""Lowered"" (3)Add Tag Lowered (7)Remove Raised And New Target Tag"," 09:00 AM, every 2 days, and on Monday, Wednesday, and Friday",Targets
Cleaning,New ,,Pro PPC Cleaning High Acos with PL Good Conversion - Targets,Pro PPC Cleaning High Acos with PL Good Conversion - Targets - New,,"Lower Again Targets With Tag ""Lowered"" (3)Add Tag Lowered (7)Remove Raised And New Target Tag"," 09:00 AM, every 2 days, and on Monday, Wednesday, and Friday",Targets
,,,,,,,,
Auto,Reg,,Pro PPC Auto Negating Search Terms - Asin Targets,,,,,
