Rules,Campaign Type,Disable/ Enable Task,Filter ID,Filter:,Parent Task:,Task ID,Child Tasks,TAG TASKS,Schedule:,Notes:
General,Reg,Enable,411,Pro PPC Live Products,,,,,,
General,Reg,Enable,412,"Pro PPC Enabled Campaign, Ad Group, and KW",,,,,,
General,Reg,Enable,460,"Pro PPC Enabled Campaign, Ad Group, and Target",,,,,,
General,Reg,Enable,452,Pro PPC Enabled Campaign and Ad Group,,,,,,
General,Reg,Enable,474,Pro PPC Campaign Enabled,,,,,,
General,Reg,Enable,429,Pro PPC TKW Campaigns,,,,,,
General,Reg,Enable,527,Pro PPC Old Campaigns,,,,,,
General,Reg,Enable,531,Pro PPC New Campaign Tag,,,,,,
General,Reg,Enable,539,Pro PPC New Campaign Tag - Keywords,,,,,,
General,Reg,Enable,541,Pro PPC New Campaign Tag - Targets,,,,,,
General,Reg,Enable,544,Pro PPC New Campaign Tag - Campaings,,,,,,
General,Reg,Enable,546,Pro PPC New Campaign Tag - Search Term,,,,,,
General,Reg,Enable,532,Pro PPC High Priced Items,,,,,,
General,Reg,Enable,481,Pro PPC Ineligible Products,,,,,,
General,Reg,Enable,486,Pro PPC Campaign KW Count 150-400 (2),,,,,,
General,Reg,Enable,487,Pro PPC Campaign KW Count 401-599 (3),,,,,,
General,Reg,Enable,488,Pro PPC Campaign KW Count 600-1000 (4),,,,,,
General,Reg,Enable,565,Pro PPC Tag Paused Low Inventory,,,,,,
General,Reg,Enable,455,Pro PPC Keywords Tagged Lowered,,,,,,
General,Reg,Enable,484,Pro PPC Keywords Tagged Lowered (2),,,,,,
General,Reg,Enable,465,Pro PPC Targets Tagged Lowered,,,,,,
General,Reg,Enable,484,Pro PPC Targets Tagged Lowered (2),,,,,,
General,Reg,Enable,539,Pro PPC New Campaign Tag - Keywords,,,,,,
General,Reg,Enable,540,Pro PPC Not in New Campaign Tag List - Keywords,,,,,,
General,Reg,Enable,541,Pro PPC New Campaign Tag - Targets,,,,,,
General,Reg,Enable,542,Pro PPC Not in New Campaign Tag List - Targets,,,,,,
General,Reg,Enable,545,Pro PPC Not in New Campaign Tag List - Campaigns,,,,,,
General,Reg,Enable,546,Pro PPC New Campaign Tag - Search Terms,,,,,,
General,Reg,Enable,547,Pro PPC Not in New Campaign Tag List - Search Terms,,,,,,
General,Reg,Enable,472,Pro PPC Campaign With PL,,,,,,
General,Reg,Enable,591,Pro PPC Exclude Campaigns,,,,,,
General,Reg,Enable,595,Pro PPC Campaign Low Spent,,,,,,
General,Reg,Enable,609,Pro PPC Mixed Campaigns,,,,,,
General,Reg,Enable,629,Pro PPC Keyword Tags,,,,,,
General,Reg,Enable,632,Pro PPC Targets Tags,,,,,,
,,,,,,,,,,
